publish_date,headline_place,headline_state,NCRB_stats,headline_text
20201204,city.vijayawada,Andhra Pradesh,17089,Andhra Pradesh: Woman killed over property feud; 10 held
20201229,city.vijayawada,Andhra Pradesh,,Andhra Pradesh: Woman killed in violent clashes at Velagapudi in Guntur district
20200202,city.vijayawada,Andhra Pradesh,,Murdered woman's valuables untouched
20200805,city.vijayawada,Andhra Pradesh,,Man murders woman for failing to repay loan in Guntur district
20200831,city.vijayawada,Andhra Pradesh,,Woman; daughter die after falling off building in AP's Guntur; family cries murder
20201031,city.vijayawada,Andhra Pradesh,,Andhra Pradesh: 19-year-old woman found dead at home in Guntur district; kin cry murder
20201213,city.vijayawada,Andhra Pradesh,,Andhra Pradesh: Two minors behind woman's murder in Kadapa village
20201204,city.vijayawada,Andhra Pradesh,,Andhra Pradesh: Woman killed over property feud; 10 held
20201229,city.vijayawada,Andhra Pradesh,,Andhra Pradesh: Woman killed in violent clashes at Velagapudi in Guntur district
20201229,city.vijayawada,Andhra Pradesh,,Andhra Pradesh: Woman killed in violent clashes at Velagapudi in Guntur district
20200226,city.kolkata,Bengal,36439,Kolkata: Patuli woman files murder-threat plaint; pro-CAA group counters
20200716,city.kolkata,Bengal,,Woman death in Kolkata: Kin claim murder
20200908,city.kolkata,Bengal,,Husband held for woman's murder
20201121,city.kolkata,Bengal,,Woman found in sack was murdered: Cops
20201224,city.kolkata,Bengal,,Kolkata: Woman found murdered in New Town guest house
20200302,city.kolkata,Bengal,,Woman killed as vehicle rams bike in Kolkata
20200201,city.patna,Bihar,15359,Woman mukhiya among four killed in Bihar in 24 hours
20200325,city.patna,Bihar,,Woman; son killed over open defecation dispute
20200407,city.patna,Bihar,,Bihar: Elderly woman killed in Madhubani
20200518,city.patna,Bihar,,elderly woman among 6 killed in state in 24 hours
20201116,city.patna,Bihar,,Elderly woman & her minor grandson killed; four injured in Bihar
20200902,city.patna,Bihar,,Woman beaten to death by kin for littering their plot in Bihar
20200203,city.patna,Bihar,,Two youths found murdered in Begusarai; woman raped in Patna
20200207,city.patna,Bihar,,Bihar: Woman among 4 held in murder case
20201228,city.patna,Bihar,,Bihar: 'Murdered' girl and woman return home
20200201,city.patna,Bihar,,Woman mukhiya among four killed in Bihar in 24 hours
20200325,city.patna,Bihar,,Woman; son killed over open defecation dispute
20200407,city.patna,Bihar,,Bihar: Elderly woman killed in Madhubani
20200518,city.patna,Bihar,,elderly woman among 6 killed in state in 24 hours
20201116,city.patna,Bihar,,Elderly woman & her minor grandson killed; four injured in Bihar
20200111,city.patna,Bihar,,Woman gang-raped twice in Begusarai; four held
20200122,city.patna,Bihar,,Bihar: HIV positive woman 'raped' on train; two arrested
20200203,city.patna,Bihar,,Two youths found murdered in Begusarai; woman raped in Patna
20200220,city.patna,Bihar,,Bihar: Woman gang-raped in Sasaram village
20201016,city.patna,Bihar,,Buxar woman not gang-raped: SP
20201018,city.patna,Bihar,,woman candidate held in maoist violence case
20200205,city.patna,Bihar,,Sheikhpura violence: 35 women among 235 booked
20201126,city.patna,Bihar,,43% of married women in state face spousal violence
20200130,city.delhi,Delhi,10093,Jahangirpuri double murder: Woman; son killed for Rs 6 lakh
20200130,city.delhi,Delhi,,Jahangirpuri double murder: Woman; son killed for Rs 6 lakh
20200622,city.delhi,Delhi,,88-year-old woman murdered in south Delhi robbery; four arrested
20200720,city.delhi,Delhi,,Woman; two minor daughters found murdered in west Delhi
20200822,city.delhi,Delhi,,Delhi: Woman; 2 lovers and near-perfect murder
20201208,city.delhi,Delhi,,Delhi: Illicit affair perfect mix for disaster; woman 'guilty' of husband's murder
20200130,city.delhi,Delhi,,Jahangirpuri double murder: Woman; son killed for Rs 6 lakh
20200909,city.delhi,Delhi,,86-year-old woman raped in south west Delhi's Chhawla area; accused; 37; arrested; 'extremely disturbing;' says DCW
20200126,city.goa,Goa,219,Ugandan woman held in Calangute murder case
20200909,city.goa,Goa,,Goa: Sacorda woman booked for murder after brother dies
20200528,city.goa,Goa,,Lockdown takes toll on women's safety; rise in domestic violence since March in Goa
20201124,city.goa,Goa,,Goa police bring help to fingertips of women suffering from violence
20200213,city.ahmedabad,Gujarat,8028,Transgender woman killed by lover in Ahmedabad's Sardarnagar
20200129,city.ahmedabad,Gujarat,,Ahmedabad: Neighbour tries to rescue mentally ill woman; beaten
20200611,city.ahmedabad,Gujarat,,Ahmedabad: Woman beaten for buying diapers
20200731,city.ahmedabad,Gujarat,,Woman councillor beaten in Ahmedabad
20200901,city.ahmedabad,Gujarat,,Ahmedabad woman calls husband to celebrate her birthday; beaten
20201010,city.ahmedabad,Gujarat,,Woman beaten for not selling ganthiya
20201111,city.ahmedabad,Gujarat,,Ahmedabad: Woman beaten by teen son over her divorce
20200623,city.ahmedabad,Gujarat,,Gujarat: Woman murdered by her daughters; partner
20200807,city.ahmedabad,Gujarat,,Ahmedabad: Woman found murdered in flat locked from outside
20200213,city.ahmedabad,Gujarat,,Transgender woman killed by lover in Ahmedabad's Sardarnagar
