publish_date,headline_place,headline_state,headline_text
20211112,city.vijayawada,Andhra Pradesh,AP: Woman; son killed after inhaling rat poison spray
20210109,city.vijayawada,Andhra Pradesh,Andhra Pradesh: 30-year-old man held for rape and murder of 75-year-old woman
20210321,city.vijayawada,Andhra Pradesh,Two held for rape & murder of Andhra Pradesh woman
20210416,city.vijayawada,Andhra Pradesh,Pregnant woman ends life after learning of husband's murder in Andhra Pradesh
20210521,city.vijayawada,Andhra Pradesh,Andhra Pradesh: Woman; two others held for murdering husband
20210721,city.vijayawada,Andhra Pradesh,Andhra Pradesh: Three held for murdering woman over dowry in Nellore
20210830,city.vijayawada,Andhra Pradesh,52-yr-old woman found murdered in Tenali home
20211112,city.vijayawada,Andhra Pradesh,AP: Woman; son killed after inhaling rat poison spray
20210131,city.vijayawada,Andhra Pradesh,Andhra Pradesh: Woman force-fed liquor; raped by husband; friends
20210419,city.vijayawada,Andhra Pradesh,Andhra Pradesh: 85-year-old woman raped in Guntur
20210910,city.vijayawada,Andhra Pradesh,Andhra Pradesh: Woman gangraped by 8 workers in Guntur district
20210822,city.vijayawada,Andhra Pradesh,Two women among Three held for bizman's murder in Vijayawada
20210708,city.kolkata,Bengal,Kolkata: Garden Reach woman tied up & gang-raped at home; robbed
20210722,city.kolkata,Bengal,Robbed; stabbed at North Kolkata home; alleges woman
20211106,city.kolkata,Bengal,Kolkata: Alone at Tallah home on Kali Puja night; 73-year-old woman attacked; robbed
20211106,city.kolkata,Bengal,Kolkata: Woman found dead; cops suspect murder
20211107,city.kolkata,Bengal,Mutton seller arrested for Behala woman's murder
20210327,city.kolkata,Bengal,Woman cop; 2 others killed in accidents
20210708,city.kolkata,Bengal,Kolkata: Garden Reach woman tied up & gang-raped at home; robbed
20211124,city.kolkata,Bengal,Kolkata: Deaf and mute woman gang-raped; four held
20210104,city.patna,Bihar,Woman killed for 'witchcraft' in Bihar
20210211,city.patna,Bihar,Woman; paramour killed in Nalanda
20210725,city.patna,Bihar,Bihar: Woman cop killed in clash over custody death in Jehanabad
20210808,city.patna,Bihar,Newlywed woman 'killed for dowry' in Patna
20210809,city.patna,Bihar,Bihar: Woman killed for cleaning mattress in neighbourhood
20210921,city.patna,Bihar,Woman killed husband due to illicit relation with his business partner: Muzaffarpur SSP
20210904,city.patna,Bihar,Woman robbed in Patna; girl dies in road accident
20211116,city.patna,Bihar,Woman shot in Munger; trader robbed of Rs 3L in Madhepura
20210305,city.patna,Bihar,Bihar: One arrested for woman's murder at Jaggubigha
20210317,city.patna,Bihar,30-year-old woman found murdered in Gopalganj
20210328,city.patna,Bihar,Bihar: Woman lawyer held for role in hubby's murder
20211025,city.patna,Bihar,Woman's murder: Patna cops arrest shooter
20211121,city.patna,Bihar,26-year-old woman found murdered in Aurangabad
20210104,city.patna,Bihar,Woman killed for 'witchcraft' in Bihar
20210117,city.patna,Bihar,Bihar: Man killed; woman shot at in Nalanda
