publish_date,headline_text
20050605,elderly woman attacked robbed
20050118,elderly woman found murdered
20050126,woman charged over immolation murder
20050215,friend testifies over nt womans murder
20050406,woman in boot told of murder fears court hears
20050416,former boyfriend jailed for womans murder
20050427,missing albany woman believed murdered
20050428,police fear missing woman may have been murdered
20050602,link confirmed between missing woman and murder
20050713,police charge man over ipswich womans murder
20050805,man pleads not guilty to sydney womans murder
20050812,former partner in custody over womans murder
20050812,second man appears in court over womans murder
20050919,woman charged over childs murder
20051031,vic woman breaks silence on husbands murder
20051208,woman guilty of mothers attempted murder despite
20051126,woman killed in jet ski accident
20050613,woman raped in newcastle cbd
20050630,elderly woman raped in home
20050131,link suspected between gang violence and womans
20050308,gender makes women vulnerable to violence woat
20050321,domestic violence tops health risk for women
20050525,many women unaware of domestic violence help
