publish_date,headline_category,headline_text
20210104,city.patna,Woman killed for 'witchcraft' in Bihar
20210105,city.surat,Woman who killed her molester gets bail
20210107,city.rajkot,Man killed for having extra-marital affair with married woman
20210117,city.patna,Bihar: Man killed; woman shot at in Nalanda
20210119,city.hyderabad,Woman; who killed husband with paramour's help; arrested
20210121,city.surat,Gujarat: Woman killed for Rs 63 lakh life insurance money
20210126,city.nashik,Elderly woman; son killed in accident; truck driver held
20210128,city.dehradun,First man-eater leopard killed in Uttarakhand forests this year; it had mauled a woman who had gone to bring fodder for her cattle
20210129,city.kanpur,Woman killed in accident; mob sets afire police outpost; three dumpers in Bidhnoo
20210202,city.hyderabad,Woman killed for 'performing black magic'
20210202,city.nagpur,52-year-old woman killed by biker
20210204,city.rajkot,Woman panchayat member killed
20210208,city.mumbai,Woman killed son at home in Pune
20210211,city.patna,Woman; paramour killed in Nalanda
20210213,city.dehradun,Woman who killed step-daughter and hacked her body gets life term
20210218,city.vadodara,Rickshaw driver killed for slapping woman
20210226,city.madurai,4 woman; man killed in TN fireworks unit blast
20210228,city.delhi,Woman killed during fight with husband in Delhi
20210324,city.chandigarh,Man killed 70-year-old woman; shared video with girlfriend: Cops
20210327,city.kolkata,Woman cop; 2 others killed in accidents
20210331,city.jaipur,Woman killed in road accident; husband critical
20210401,city.nagpur,Woman killed in a tiger attack
20210405,city.ahmedabad,Ahmedabad woman killed on suspicion of extramarital affair
20210409,city.hyderabad,Hyderabad: Woman returns to hubby after 14 years; killed
20210416,city.delhi,Woman killed; 2 hurt as tin shed falls on them
20210421,city.ahmedabad,Woman drugged; gang-raped; killed
20210429,city.ranchi,Gumla woman killed while tilling field; body found with throat slit
20210502,city.meerut,Woman killed; defaced; body found in drain
20210502,city.agra,Woman; son among 3 killed in road accident
20210506,city.coimbatore,62-year-old woman killed for gold chain
20210507,city.hyderabad,Telangana: Worker killed for stalking woman
20210512,city.kochi,Idukki woman killed in rocket attack in Israel
20210522,city.dehradun,An 80-yo Covid-positive woman allegedly killed & looted in Haridwar; body sent for post-mortem despite Covid
20210603,city.meerut,Muzaffarnagar: Woman killed by husband for not serving salad in dinner
20210607,city.delhi,Delhi:75-year-old woman killed by caretaker during robbery bid
20210611,city.vadodara,Vadodara: Residents allege water contamination killed a woman in Nagarwada area
20210612,city.dehradun,Uttarakhand: Forest department eliminates leopard which killed a woman on Thursday
20210612,city.jaipur,Rajasthan: Jhunjhunu woman killed by son over mining of bajri
20210616,city.delhi,35-year-old woman killed; 3 hurt as car rams e-rick
20210618,city.pune,Woman killed after tempo rams bike
